original_file,new_file,recommended_use,width,height,bytes
DSC04211.jpg,bjorli-vinter-ski-nedfart-fjellutsikt-underside.jpg,Underside / stemning,1365,2048,439760
DSC04248.jpg,bjorli-vinter-toppskilt-fjellutsikt-underside.jpg,Underside / ankomst topp,1365,2048,390433
DSC04258.jpg,bjorli-vinter-skiloyper-fjellandskap-underside.jpg,Underside / løyper,1365,2048,401380
DSC06424.jpg,bjorli-stolheis-fjellutsikt-gjester-underside.jpg,Underside / heis,1920,1280,172234
DSC06448.jpg,bjorli-skiheis-hoyfjell-vinter-hero.jpg,Hero / anlegg,2048,1365,329702
DSC06452.jpg,bjorli-pause-i-sola-hoyfjell-underside.jpg,Underside / familie og pause,2048,1365,368641
DSC06459.jpg,bjorli-toppstasjon-skiheis-vinter-underside.jpg,Underside / heisområde,2048,1365,368709
DSC06487.jpg,bjorli-skiloyper-fjellpanorama-underside.jpg,Underside / løyper,2048,1295,362169
DSC06519.jpg,bjorli-stolheis-dalutsikt-vinter-underside.jpg,Underside / heis,2048,1365,523206
DSC06552.jpg,bjorli-hoyfjell-skiere-panorama-underside.jpg,Underside / fjellopplevelse,2048,1365,177070
DSC06557-Pano.jpg,bjorli-vinterpanorama-skiomrade-hero-wide.jpg,Hero / bredt panorama,2048,748,165563
DSC06569.jpg,bjorli-barn-ski-fjellutsikt-forside.jpg,Forside / familie,2048,1365,308699
DSC06571.jpg,bjorli-barn-skibriller-naerbilde-forside.jpg,Forside / familie,2048,1365,169053
DSC06585.jpg,bjorli-nordloypa-trekk-hoyfjell-underside.jpg,Underside / Nordløypa,2048,1365,230118
DSC06655.jpg,bjorli-vennegjeng-ski-fjellutsikt-forside.jpg,Forside / grupper,2048,1365,374043
DSC06657.jpg,bjorli-skiere-dalutsikt-portrett-underside.jpg,Underside / grupper,2048,1365,319337
DSC06680.jpg,bjorli-skiskole-barn-alpinbakke-underside.jpg,Underside / skiskole,2048,1365,405981
DSC06697.jpg,bjorli-nordloypa-familie-hoyfjell-underside.jpg,Underside / familie,2048,1365,320296
DSC06796.jpg,bjorli-carving-rod-skikjorer-action-forside.jpg,Forside / action,1280,1751,246873
Folk avstigning.jpg,bjorli-gruppe-skiere-fjellpanorama-hero-wide.jpg,Hero / gruppe,2048,1365,394840
Untitled-1-8.jpg,bjorli-LOGO-solsenger-bunnstasjon-vinter-underside.jpg,LOGO: crop bort logo før publisering,2048,1365,557341
Untitled-1-9.jpg,bjorli-LOGO-bunnstasjon-skiutstyr-heis-underside.jpg,LOGO: crop bort logo før publisering,2048,1365,523641
Untitled-1-10.jpg,bjorli-LOGO-afterski-terrasse-fjellutsikt-underside.jpg,LOGO: crop bort logo før publisering,2048,1365,433678
Untitled-3-3.jpg,bjorli-LOGO-slalombakke-konkurranse-underside.jpg,LOGO: crop bort logo før publisering,1365,2048,425357
Untitled-3-5.jpg,bjorli-LOGO-heiskort-bunnstasjon-afterski-underside.jpg,LOGO: crop bort logo før publisering,2048,1365,401924
Untitled-4-4.jpg,bjorli-LOGO-barneomrade-heis-skiskole-underside.jpg,LOGO: crop bort logo før publisering,2048,1365,454546
3ed761be-3c8d-419a-b4a6-488a8a0c2c9c.png,bjorli-carving-oransje-skikjorer-action-hero.jpg,Hero / action,816,1310,93120
image (14).png,bjorli-carving-oransje-skikjorer-naer-action-forside.jpg,Forside / action,1330,784,149387
